resume	/ˈrezəmeɪ/	n. 简历
interview	/ˈɪntəvjuː/	n. & v. 面试
recruit	/rɪˈkruːt/	v. 招聘；招募
promote	/prəˈməʊt/	v. 晋升；推广
resign	/rɪˈzaɪn/	v. 辞职
salary	/ˈsæləri/	n. 薪水
bonus	/ˈbəʊnəs/	n. 奖金；红利
commission	/kəˈmɪʃn/	n. 佣金
overtime	/ˈəʊvətaɪm/	n. & adj. 加班（的）
vacation	/veɪˈkeɪʃn/	n. 假期
leave	/liːv/	n. 休假
pension	/ˈpenʃn/	n. 退休金
contract	/ˈkɒntrækt/	n. 合同
deadline	/ˈdedlaɪn/	n. 截止日期
project	/ˈprɒdʒekt/	n. 项目
collaborate	/kəˈlæbəreɪt/	v. 合作
teamwork	/ˈtiːmwɜːk/	n. 团队合作
meeting	/ˈmiːtɪŋ/	n. 会议
conference	/ˈkɒnfərəns/	n. 会议；研讨会
presentation	/ˌpreznˈteɪʃn/	n. 演示；报告
negotiate	/nɪˈɡəʊʃieɪt/	v. 谈判；协商
client	/ˈklaɪənt/	n. 客户
customer	/ˈkʌstəmə(r)/	n. 顾客
feedback	/ˈfiːdbæk/	n. 反馈
complaint	/kəmˈpleɪnt/	n. 投诉
performance	/pəˈfɔːməns/	n. 表现；业绩
efficiency	/ɪˈfɪʃnsi/	n. 效率
productivity	/ˌprɒdʌkˈtɪvəti/	n. 生产力
responsibility	/rɪˌspɒnsə ˈbɪləti/	n. 责任
task	/tɑːsk/	n. 任务
duty	/ˈdjuːti/	n. 职责
shift	/ʃɪft/	n. 轮班
supervisor	/ ˈsuːpəvaɪzə(r)/	n. 主管
colleague	/ˈkɒliːɡ/	n. 同事
employee	/ɪmˈplɔɪiː/	n. 员工
employer	/ɪmˈplɔɪə(r)/	n. 雇主
intern	/ˈɪntɜːn/	n. 实习生
trainee	/ˌtreɪˈniː/	n. 受训者
qualification	/ˌkwɒlɪfɪˈkeɪʃn/	n. 资格；学历
certificate	/səˈtɪfɪkət/	n. 证书
diploma	/dɪˈpləʊmə/	n. 文凭
appointment	/əˈpɔɪntmənt/	n. 预约
schedule	/ˈʃedjuːl/	n. 日程表
flexible	/ˈfleksəbl/	adj. 灵活的
remote	/rɪˈməʊt/	adj. 远程的
telecommute	/ˌtelikəˈmjuːt/	v. 远程办公
layoff	/ˈleɪɒf/	n. 裁员
downturn	/ˈdaʊntɜːn/	n. 衰退
bankruptcy	/ˈbæŋkrʌptsi/	n. 破产
merger	/ˈmɜːdʒə(r)/	n. 合并
arrange	/əˈreɪndʒ/	v. 安排
schedule	/ˈʃedjuːl/	v. 安排
postpone	/pəˈspəʊn/	v. 推迟
delay	/dɪˈleɪ/	v. & n. 延迟
cancel	/ˈkænsl/	v. 取消
reschedule	/ˌriːˈʃedjuːl/	v. 重新安排
deadline	/ˈdedlaɪn/	n. 截止日期
due	/djuː/	adj. 到期的
punctual	/ˈpʌŋktʃuəl/	adj. 准时的
prompt	/prɒmpt/	adj. 及时的
on time	/ɒn taɪm/	短语准时
in time	/ɪn taɪm/	短语及时
ahead of time	/əˈhed ɒv taɪm/	短语提前
in advance	/ɪn əd ˈvɑːns/	短语提前
last minute	/lɑːst ˈmɪnɪt/	短语最后一刻
timetable	/ˈtaɪmteɪbl/	n. 时刻表
agenda	/əˈdʒendə/	n. 议程
calendar	/ ˈkælɪndə(r)/	n. 日历
reminder	/rɪ ˈmaɪndə(r)/	n. 提醒
notify	/ˈnəʊtɪfaɪ/	v. 通知
inform	/ɪnˈfɔːm/	v. 告知
confirm	/kənˈfɜːm/	v. 确认
tentative	/ˈtentətɪv/	adj. 暂定的
definite	/ˈdefɪnət/	adj. 确定的
flexible	/ˈfleksəbl/	adj. 灵活的
overlap	/ˌəʊvəˈlæp/	v. 时间重叠
conflict	/ˈkɒnflɪkt/	n. 时间冲突
allocate	/ˈæləkeɪt/	v. 分配
prioritize	/praɪ ˈɒrətaɪz/	v. 优先处理
urgent	/ˈɜːdʒənt/	adj. 紧急的
emergency	/ɪ ˈmɜːdʒənsi/	n. 紧急情况
routine	/ruːˈtiːn/	n. 日常惯例
regular	/ˈreɡjələ(r)/	adj. 定期的
occasional	/əˈkeɪʒənl/	adj. 偶尔的
frequent	/ˈfriːkwənt/	adj. 频繁的
duration	/djuˈreɪʃn/	n. 持续时间
session	/ˈseʃn/	n. 一场；一节
interval	/ˈɪntəvl/	n. 间隔
break	/breɪk/	n. 休息时间
vacation	/veɪˈkeɪʃn/	n. 假期
acquaintance	/əˈkweɪntəns/	n. 熟人
colleague	/ˈkɒliːɡ/	n. 同事
roommate	/ˈruːmmeɪt/	n. 室友
neighbor	/ˈneɪbə(r)/	n. 邻居
companion	/kəmˈpænjən/	n. 同伴
peer	/pɪə(r)/	n. 同龄人
ally	/ˈælaɪ/	n. 盟友
rival	/ˈraɪvl/	n. 对手
stranger	/ˈstreɪndʒə(r)/	n. 陌生人
introvert	/ˈɪntrəvɜːt/	n. 内向的人
extrovert	/ˈekstrəvɜːt/	n. 外向的人
amicable	/ˈæmɪkəbl/	adj. 友好的
hostile	/ˈhɒstaɪl/	adj. 敌对的
cordial	/ˈkɔːdiəl/	adj. 热情友好的
sociable	/ˈsəʊʃəbl/	adj. 好交际的
reserved	/rɪˈzɜːvd/	adj. 矜持的
generous	/ˈdʒenərəs/	adj. 慷慨的
stingy	/ˈstɪndʒi/	adj. 吝啬的
honest	/ˈɒnɪst/	adj. 诚实的
sincere	/sɪnˈsɪə(r)/	adj. 真诚的
deceitful	/dɪˈsiːtfl/	adj. 欺诈的
reliable	/rɪˈlaɪəbl/	adj. 可靠的
unreliable	/ˌʌnrɪˈlaɪəbl/	adj. 不可靠的
trustworthy	/ˈtrʌstwɜːði/	adj. 值得信赖的
betray	/bɪˈtreɪ/	v. 背叛
support	/səˈpɔːt/	v. & n. 支持
encourage	/ɪnˈkʌrɪdʒ/	v. 鼓励
motivate	/ˈməʊtɪveɪt/	v. 激励
console	/kənˈsəʊl/	v. 安慰
sympathize	/ˈsɪmpəθaɪz/	v. 同情
empathize	/ˈempəθaɪz/	v. 共情
forgive	/fəˈɡɪv/	v. 原谅
apologize	/əˈpɒlədʒaɪz/	v. 道歉
quarrel	/ˈkwɒrəl/	v. & n. 争吵
argue	/ˈɑːɡjuː/	v. 争论
negotiate	/nɪˈɡəʊʃieɪt/	v. 协商
compromise	/ ˈkɒmprəmaɪz/	v. & n. 妥协
cooperate	/kəʊˈɒpəreɪt/	v. 合作
collaborate	/kəˈlæbəreɪt/	v. 协作
gossip	/ˈɡɒsɪp/	v. & n. 八卦
flatter	/ˈflætə(r)/	v. 奉承
criticize	/ˈkrɪtɪsaɪz/	v. 批评
praise	/preɪz/	v. & n. 表扬
commend	/kəˈmend/	v. 称赞
grateful	/ˈɡreɪtfl/	adj. 感激的
entrepreneur	/ˌɒntrəprə ˈnɜː(r)/	n. 企业家
venture	/ˈventʃə(r)/	n. 风险投资
startup	/ˈstɑːtʌp/	n. 初创公司
corporation	/ˌkɔːpəˈreɪʃn/	n. 公司
firm	/fɜːm/	n. 公司
enterprise	/ˈentəpraɪz/	n. 企业
brand	/brænd/	n. 品牌
marketing	/ˈmɑːkɪtɪŋ/	n. 市场营销
advertising	/ˈædvətaɪzɪŋ/	n. 广告宣传
promotion	/prəˈməʊʃn/	n. 促销；晋升
discount	/ˈdɪskaʊnt/	n. & v. 折扣；打折
retail	/ˈriːteɪl/	n. 零售
wholesale	/ˈhəʊlseɪl/	n. 批发
profit	/ˈprɒfɪt/	n. 利润
revenue	/ˈrevənjuː/	n. 收入
budget	/ˈbʌdʒɪt/	n. 预算
expense	/ɪkˈspens/	n. 开支
investment	/ɪnˈvestmənt/	n. 投资
asset	/ˈæset/	n. 资产
liability	/ˌlaɪəˈbɪləti/	n. 负债
invoice	/ˈɪnvɔɪs/	n. 发票
receipt	/rɪˈsiːt/	n. 收据
contract	/ˈkɒntrækt/	n. 合同
partnership	/ˈpɑːtnəʃɪp/	n. 合作关系
franchise	/ˈfræntʃaɪz/	n. 特许经营权
intellectual property	/ˌɪntəˈlektʃuəl ˈprɒpəti/	n. 知识产权
patent	/ˈpeɪtnt/	n. 专利
copyright	/ˈkɒpiraɪt/	n. 版权
trademark	/ˈtreɪdmɑːk/	n. 商标
merger	/ˈmɜːdʒə(r)/	n. 合并
acquisition	/ˌækwɪˈzɪʃn/	n. 收购
monopoly	/məˈnɒpəli/	n. 垄断
competition	/ˌkɒmpəˈtɪʃn/	n. 竞争
customer service	/ˈkʌstəmə ˈsɜːvɪs/	n. 客户服务
supply chain	/səˈplaɪ tʃeɪn/	n. 供应链
inventory	/ˈɪnvəntri/	n. 库存
stock	/stɒk/	n. 库存；股票
shareholder	/ ˈʃeəhəʊldə(r)/	n. 股东
board of directors	/bɔːd ɒv daɪ ˈrektəz/	n. 董事会
CEO	/ˌsiː iː ˈəʊ/	n. 首席执行官
market research	/ˈmɑːkɪt rɪ ˈsɜːtʃ/	n. 市场调研
target audience	/ˈtɑːɡɪt ˈɔːdiəns/	n. 目标受众
e-commerce	/ˈiː kɒmɜːs/	n. 电子商务
logistics	/ləˈdʒɪstɪks/	n. 物流
outsourcing	/ˈaʊtsɔːsɪŋ/	n. 外包
reservation	/ˌrezəˈveɪʃn/	n. 预订
book	/bʊk/	v. 预订
check-in	/ˈtʃek ɪn/	n. & v. 办理入住
check-out	/ˈtʃek aʊt/	n. & v. 办理退房
front desk	/frʌnt desk/	n. 前台
receptionist	/rɪˈsepʃənɪst/	n. 接待员
suite	/swiːt/	n. 套房
